state,state_name,agency,cycle_start,cycle_end,cycle_source,doc_status,effective_date,governs_round,is_most_recent,n_pages,source_quality,stated_total,filename,sha256,source_url,retrieved_at,notes
,,Vermont Housing Finance Agency,2027,2028,manual,draft,,,0,23,garbled_text,,draft-qap-6-23-2026.pdf,fd2e8d232916ba643f6b9f2de027a115c5408d7de1ecde1b081a9f1a0febe522,https://vhfa.org/draft-qap-6-23-2026,2026-09-24,"[""text layer extracts but is not readable text (4% letters, expected >45%) - likely a font with no Unicode mapping; needs --force-ocr"", ""state not identified; set manually"", ""cycle not found in filename or document; set manually"", ""appears to be a DRAFT, not an adopted QAP""]
Verified by exact sha256 match. Cycle from VHFA's own public-comment files, which label this the 2027-2028 QAP draft; the document face does not state it. This copy's text layer is garbled (Type3 font); the OCR'd twin carries the extraction."
AK,Alaska,,,,none,final,,,1,51,native,231.0,alaska-qap-fy2027.pdf,c24837a86cc87cd11a85a9c4ce6d111ff50ae2d8d43e653a1004917029658581,,2026-09-24,"[""cycle not found in filename or document; set manually""]"
AL,Alabama,,2027,2027,document,final,,,1,51,native,,alabama-qap-2027.pdf,55e08d69c9a305b6aa3ee1c11178ad3ffa8121bd4ecc4ae5d3bb817dae759291,,2026-09-24,
AR,Arkansas,,2027,2027,document,final,,,1,32,native,,arkansas-qap-2027.pdf,f0c7e4c6c346881f01c87a815c57fa4891a1cd484f0262282ffc3cd8af57b330,,2026-09-24,
AZ,Arizona,,2027,2027,CONFLICT,final,,,1,50,native,,arizona-qap-2026-2027.pdf,c524f135b5e90cfcf1acdf982b0eeee502f3929163417bef7d785fc0c7c90b0c,,2026-09-24,"[""cycle conflict: filename says 2026-2027, document says 2027-2027; using the document""]"
CA,California,,,,none,final,,,1,108,native,,california-qap-2026.pdf,dfefb9c9658892e876ad50d66e138eb5dede7fab8fab1d0a72e69118248f7de8,https://www.treasurer.ca.gov/sites/default/files/2026-03/regulations.pdf,2026-09-24,"[""cycle not found in filename or document; set manually""]
California has no document titled QAP: this is CTCAC's regulations, CCR Title 4 Div 17 Ch 1, adopted 2025-12-10. Competitive 9% scoring is section 10325."
CO,Colorado,Colorado Housing and Finance Authority,2025,2026,manual,final,,,1,102,native,,colorado-qap-2025-2026.pdf,3b2023d260c983f712222386724411c11abb8b82ed00a7a436c47ffa665ae2c5,https://www.chfainfo.com/getattachment/7535845e-c0fa-4061-9bcb-60d7158ea294/2025-2026-QAP-Second-Amendment.pdf,2026-09-24,"[""cycle conflict: filename says 2025-2026, document says 2025-2025; using the document""]
Complete restated QAP as amended (Second Amendment), adopted 2025-09-26, approved by the Governor 2025-11-13. 2027-2028 exists in draft only."
CT,Connecticut,Connecticut Housing Finance Authority,2026,2026,document,final,2025-10-01,2026,1,39,native,,FINAL_2026_QAP.pdf,9b8e6cba2fe3de34d8ccbe71aa84c879087b2ae09ef1dab4292339e92921891e,https://www.chfa.org/assets/1/19/FINAL_2026_QAP.pdf?14379=,2026-09-24,"Two parallel tracks. Preservation Classification is ranked on nine ordered priorities and carries NO points; New Construction Classification is scored to 100 points. stated_total applies to the new_construction track only.
Verified by exact sha256 match against the live file."
DE,Delaware,Delaware State Housing Authority,2025,2026,both_agree,final,,,1,66,native,231.0,delaware-qap-2025-2026.pdf,b1a276d3bd3bd63272aaaa5c6b8dd455d0c61f7d9b5cc70a398c8f797643ae6a,https://www.destatehousing.com/wp-content/uploads/2026/06/2025-2026-LIHTC-QAP.pdf,2026-09-24,"Adopted 2025-01-03, updated 2026-01-07, effective with the 2026 application cycle. DSHA publishes companion Guidelines and a Map Reference Guide separately."
FL,Florida,Florida Housing Finance Corporation,2026,2026,document,final,,,1,4,native,,florida-qap-2026.pdf,c81c4b7324cb397a583b79d667ec30796516609913994b6058881cfa652080a1,https://www.floridahousing.org/docs/default-source/programs/non-competitive/related-references-links/2026-qualified-allocation-plan.pdf?Status=Master&sfvrsn=9ddae47f_2,2026-09-24,"Four pages; delegates selection to RFAs. Florida's competitive scoring is in the individual RFAs, not the QAP. Text layer repeats each line 3-8 times."
